grd_id,n_users,car_tt_kfreq,pt_tt_kfreq,car_tt_kdist,pt_tt_kdist,car_tt_diff,pt_tt_diff,car_tt_diff_grd,pt_tt_diff_grd,popu,region,city
1kmN6847E0366,1,,,,,,,,,21,Upper Pirkanmaa,Juupajoki
1kmN6847E0383,1,,,,,,,,,2,Upper Pirkanmaa,Jämsä
1kmN6847E0457,1,,,,,,,,,8,South Eastern Middle,Joutsa
1kmN6847E0469,1,6.0,10.0,6.3158007087909285,10.0,0.0,0.0,-0.3158007087909285,0.0,1,South Eastern Middle,Joutsa
1kmN6847E0476,1,,,,,,,,,1,Mikkeli,Hirvensalmi
1kmN6847E0500,1,,,,,,,,,3,Mikkeli,Mikkeli
1kmN6847E0518,1,,,,,,,,,9,Mikkeli,Mikkeli
1kmN6847E0536,1,,,,,,,,,8,Juva,Juva
1kmN6847E0568,1,,,,,,,,,1,Juva,Sulkava
1kmN6847E0625,1,6.0,11.0,,,,,,,8,Savonlinna,Savonlinna
1kmN6847E0626,2,,,,,,,,,226,Savonlinna,Savonlinna
1kmN6848E0220,1,,,,,,,,,18,Pori,Pori
1kmN6848E0298,1,,,,,,,,,7,North Western Pirkanm,Hämeenkyrö
1kmN6848E0303,2,13.386955919968434,155.44307306858897,7.148495240041651,27.499964470478304,6.238460679926783,127.94310859811067,6.238460679926783,127.94310859811067,2,North Western Pirkanm,Ylöjärvi
1kmN6848E0304,2,80.0,,41.99319807515557,,38.00680192484443,,38.00680192484443,,2,North Western Pirkanm,Ylöjärvi
1kmN6848E0305,1,,,17.536058116121925,17.536058116121925,,,,,7,North Western Pirkanm,Ylöjärvi
1kmN6848E0315,1,5.681325423679256,5.681325423679256,5.681325423679256,6.081321975596727,0.0,0.0,0.0,-0.39999655191747063,3,North Western Pirkanm,Ylöjärvi
1kmN6848E0316,1,,,,,,,,,19,Tampere,Ylöjärvi
1kmN6848E0341,1,,,,,,,,,3,Tampere,Tampere
1kmN6848E0365,2,15.001060403402496,20.26830933775089,5.549741738621514,6.4152517038932375,9.451318664780981,13.853057633857652,9.451318664780981,13.853057633857652,24,Upper Pirkanmaa,Juupajoki
1kmN6848E0367,1,,,,,,,,,5,Upper Pirkanmaa,Juupajoki
1kmN6848E0575,4,18.0,79.0,,,,,,,9,Juva,Sulkava
1kmN6848E0606,1,32.75277535962103,,32.75277535962103,,0.0,,0.0,,3,Savonlinna,Savonlinna
1kmN6848E0626,4,29.113080967956034,13.648739166695231,12.787082710914788,31.89473759180727,22.46031274228698,-1.49199685022408,16.325998257041245,-18.24599842511204,568,Savonlinna,Savonlinna
1kmN6848E0628,1,,,,,,,,,13,Savonlinna,Savonlinna
1kmN6848E0640,1,5.733825794028684,5.733825794028684,5.7900041429300675,5.7900041429300675,0.0,0.0,-0.0561783489013834,-0.0561783489013834,3,Imatra,Parikkala
1kmN6849E0211,1,,,,,,,,,4,Pori,Pori
1kmN6849E0217,1,,,,,,,,,18,Pori,Pori
1kmN6849E0235,3,8.341935616674727,145.15238993257023,6.29467836106782,39.656880269258615,2.0472572556069055,105.49550966331162,2.0472572556069064,105.49550966331162,113,Pori,Pomarkku
1kmN6849E0236,3,13.733681186663986,11.899662162316927,10.824875352930974,10.824875352930974,2.908805833733014,1.0747868093859536,2.9088058337330125,1.0747868093859534,326,Pori,Pomarkku
1kmN6849E0290,1,5.711355910792752,5.711355910792752,,,,,,,7,North Western Pirkanm,Ikaalinen
1kmN6849E0311,1,,,,,,,,,10,North Western Pirkanm,Ylöjärvi
1kmN6849E0377,1,,,,,,,,,2,Upper Pirkanmaa,Orivesi
1kmN6849E0389,1,,,,,,,,,1,Upper Pirkanmaa,Jämsä
1kmN6849E0413,2,25.215328937730472,33.94046362565862,5.888498209025151,5.888498209025151,19.32683072870532,28.05196541663347,19.32683072870532,28.05196541663347,4,Jämsä,Jämsä
1kmN6849E0450,2,,,,,,,,,10,South Eastern Middle,Joutsa
1kmN6849E0455,2,8.0,12.0,8.0,12.0,0.0,0.0,0.0,0.0,2,South Eastern Middle,Joutsa
1kmN6849E0488,1,37.37727406519074,45.32477318218598,19.0,26.001952483072706,18.37727406519074,19.322820699113272,18.37727406519074,19.322820699113272,2,Mikkeli,Hirvensalmi
1kmN6849E0527,2,,,,,,,,,5,Mikkeli,Mikkeli
1kmN6849E0528,1,12.909080145423133,18.0,11.0,18.0,1.9090801454231325,0.0,1.9090801454231325,0.0,6,Mikkeli,Juva
1kmN6849E0529,3,16.053044238662704,70.3811072837216,6.184761205499671,10.14579224971937,8.394805152494381,60.23531503400224,9.868283033163033,60.235315034002234,3,Mikkeli,Juva
1kmN6849E0531,1,12.874365616677379,49.87436561667738,5.780412895359422,6.3743656166773786,7.093952721317956,43.5,7.093952721317956,43.5,31,Juva,Juva
1kmN6849E0555,2,5.724183888181818,5.724183888181818,5.724183888181818,5.724183888181818,0.0,0.0,0.0,0.0,5,Juva,Juva
