home_gid9,car_tt_kfreq,pt_tt_kfreq,car_tt_kdist,pt_tt_kdist,user_id,home_grd_id,inc_quar,name,NAME_3,stay_gid9,poi_count,log_poi,pt_tt_diff,log_pt_diff,perc_pt_diff,poi_deciles
891126d712bffff,7.0,19.0,6.573362203858569,12.5,1,1kmN6688E0392,Q1,Vantaa,Helsinki,891126d712bffff,24.0,3.2188758248682006,6.5,0.3930425881096071,0.52,"(3.178, 3.434]"
891126d7133ffff,5.7316435437763085,43.0,6.0,8.0,3,1kmN6687E0387,Q1,Vantaa,Helsinki,891126d7133ffff,39.0,3.6888794541139363,35.0,1.5869650565820415,4.375,"(3.434, 3.807]"
891126d7137ffff,19.822042908458226,35.31673791613319,18.86750283574666,31.93821471041295,4,1kmN6689E0391,Q1,Vantaa,Helsinki,891126d7137ffff,41.0,3.7376696182833684,3.378523205720242,0.0976452095610072,0.10578309515273965,"(3.434, 3.807]"
891126d713bffff,10.606048732785847,20.857234081613417,8.0,15.481876513074752,3,1kmN6688E0391,Q1,Vantaa,Helsinki,891126d713bffff,23.0,3.1780538303479458,5.375357568538664,0.2822705619132919,0.3472032323729664,"(2.944, 3.178]"
891126d7143ffff,5.708771043438756,5.708771043438756,5.714041983803915,5.714041983803915,1,1kmN6687E0391,Q1,Vantaa,Helsinki,891126d7143ffff,36.0,3.6109179126442243,0.005270940365158516,0.0007853704920703919,0.0009224539091764916,"(3.434, 3.807]"
891126d7147ffff,11.0,36.0,11.0,36.0,1,1kmN6687E0391,Q1,Vantaa,Helsinki,891126d7147ffff,35.0,3.58351893845611,0.0,0.0,0.0,"(3.434, 3.807]"
891126d714fffff,5.683373296592483,6.0,5.823097635041188,6.0,1,1kmN6685E0373,Q4,Espoo,Helsinki,891126d714fffff,21.0,3.091042453358316,0.0,0.0,0.0,"(2.944, 3.178]"
891126d7153ffff,8.999629830292655,18.203551201415948,9.03132751715782,15.487980368235174,2,1kmN6687E0391,Q1,Vantaa,Helsinki,891126d7153ffff,77.0,4.356708826689592,2.7155708331807737,0.1524635674205408,0.17533408285758356,"(3.807, 4.382]"
891126d7157ffff,9.801182219501868,36.62144313981917,9.596459578518164,28.283660064453134,6,1kmN6687E0391,Q1,Vantaa,Helsinki,891126d7157ffff,49.0,3.912023005428146,8.337783075366037,0.2505445006282625,0.2947915176595179,"(3.807, 4.382]"
891126d715bffff,7.700178484270258,24.58874101983123,7.050267726405388,14.5,1,1kmN6687E0391,Q1,Vantaa,Helsinki,891126d715bffff,51.0,3.9512437185814275,10.088741019831229,0.5013124269053661,0.6957752427469813,"(3.807, 4.382]"
891126d7177ffff,6.0,9.0,6.0,9.0,1,1kmN6672E0386,Q4,Helsinki,Helsinki,891126d7177ffff,20.0,3.044522437723423,0.0,0.0,0.0,"(2.944, 3.178]"
891126d717bffff,16.587429231763757,92.25,12.702424712734633,60.5,2,1kmN6687E0392,Q1,Vantaa,Helsinki,891126d717bffff,28.0,3.367295829986474,31.75,0.4162468837114526,0.5247933884297521,"(3.178, 3.434]"
891126d7193ffff,11.206906041857756,180.0,6.912630065329064,18.5,1,1kmN6688E0380,Q3,Vantaa,Helsinki,891126d7193ffff,20.0,3.044522437723423,161.5,2.228082565696125,8.72972972972973,"(2.944, 3.178]"
891126d71abffff,6.593678188784796,10.820660689926804,6.376433682800153,7.486137178895306,4,1kmN6688E0391,Q1,Vantaa,Helsinki,891126d71abffff,26.0,3.295836866004329,3.334523511031498,0.3314149943804545,0.44542645043054874,"(3.178, 3.434]"
891126d71afffff,9.825192609855772,7.0,6.841576365393338,7.0,5,1kmN6689E0391,Q1,Vantaa,Helsinki,891126d71afffff,33.0,3.5263605246161616,0.0,0.0,0.0,"(3.434, 3.807]"
891126d71c3ffff,12.888713831469595,6.943227253247754,5.756395151424603,5.8302363787701506,4,1kmN6687E0390,Q2,Vantaa,Helsinki,891126d71c3ffff,63.0,4.1588830833596715,1.1129908744776031,0.150960365866188,0.1908997855610755,"(3.807, 4.382]"
891126d71cbffff,9.166666666666666,15.5,8.0,11.0,3,1kmN6687E0390,Q2,Vantaa,Helsinki,891126d71cbffff,68.0,4.23410650459726,4.5,0.3184537311185345,0.4090909090909091,"(3.807, 4.382]"
891126d71d3ffff,7.130562135801603,180.0,7.618392702798392,19.40115986539116,1,1kmN6691E0393,Q1,Vantaa,Helsinki,891126d71d3ffff,29.0,3.4011973816621555,160.59884013460885,2.1829052758852794,8.277795825036922,"(3.178, 3.434]"
891126d71d7ffff,10.0,25.986922928003015,9.555030480495832,24.0,7,1kmN6688E0390,Q1,Vantaa,Helsinki,891126d71d7ffff,29.0,3.4011973816621555,1.9869229280030147,0.07647658780767408,0.08278845533345895,"(3.178, 3.434]"
891126d71dbffff,9.0,26.0,7.108853342935342,16.071480050410546,5,1kmN6687E0390,Q2,Vantaa,Helsinki,891126d71dbffff,51.0,3.9512437185814275,9.928519949589454,0.45842762818740335,0.6177725958310747,"(3.807, 4.382]"
891126d7203ffff,12.5,35.0,12.5,35.0,3,1kmN6684E0391,Q4,Helsinki,Helsinki,891126d7203ffff,21.0,3.091042453358316,0.0,0.0,0.0,"(2.944, 3.178]"
