grd_id,n_users,popu,city,region,mean_qk,mean_qk_nw,log_poi,mean_qk_null
1kmN6638E0273,11,337.0,Hanko,Ekenäs,0.864448051948052,0.8982142857142857,5.196114070934316,0.3802500117723695
1kmN6638E0274,7,237.0,Hanko,Ekenäs,0.729591836734694,0.8928571428571429,3.890620702916848,0.3588053467000835
1kmN6639E0272,10,991.0,Hanko,Ekenäs,0.7967910730046651,0.9564577817005002,0.7896914025769208,0.4161897490630235
1kmN6639E0273,10,1269.0,Hanko,Ekenäs,0.5072222222222222,0.7745614035087719,1.9458477667659464,0.5368063657285924
1kmN6639E0274,12,1039.0,Hanko,Ekenäs,0.7250315656565656,0.7106902356902357,2.069126798765058,0.4509530349392683
1kmN6639E0275,11,301.0,Hanko,Ekenäs,0.7950585999366487,0.8261072261072261,1.3586523480571888,0.3707776289653937
1kmN6640E0272,6,423.0,Hanko,Ekenäs,0.703921568627451,0.6239285714285714,0.5927574033424888,0.5113195712452346
1kmN6640E0273,6,429.0,Hanko,Ekenäs,0.5718253968253969,0.7305555555555556,0.3701671544109334,0.7945949557883004
1kmN6653E0301,10,940.0,Raseborg,Ekenäs,0.6678708133971292,0.497034632034632,5.8743025654056,0.4662742031010148
1kmN6653E0302,11,1223.0,Raseborg,Ekenäs,0.6941558441558442,0.7683982683982684,0.8096405151617729,0.379041992393064
1kmN6654E0301,10,1924.0,Raseborg,Ekenäs,0.6946428571428571,0.7125,7.179862908016568,0.3359531723712463
1kmN6654E0302,6,995.0,Raseborg,Ekenäs,0.611111111111111,0.6722222222222222,2.1718192408296977,0.4235376279279516
1kmN6660E0333,7,535.0,Ingå,Ekenäs,0.8430985297344744,0.9095238095238096,2.2645933393598177,0.282126493206573
1kmN6662E0249,6,216.0,Kimitoön,Åboland-Turunmaa,0.5066137566137566,0.6255199049316696,3.6208349009591023,0.6129186071025965
1kmN6662E0313,8,540.0,Raseborg,Ekenäs,0.5939217032967032,0.7537202380952381,1.2177416998702335,0.8110163387053873
1kmN6663E0248,6,170.0,Kimitoön,Åboland-Turunmaa,0.6693121693121693,0.8587962962962963,0.3296664345522023,1.0
1kmN6663E0313,8,585.0,Raseborg,Ekenäs,0.6622510822510822,0.8484848484848484,0.6776156605297667,0.6200908601643084
1kmN6663E0314,8,657.0,Raseborg,Ekenäs,0.546031746031746,0.7829004329004329,4.6828153798156755,0.7221248982199124
1kmN6663E0315,6,305.0,Raseborg,Ekenäs,0.6527777777777778,0.7916666666666666,0.5503556975414186,0.5760944631604192
1kmN6663E0355,8,736.0,Kirkkonummi,Helsinki,0.6666666666666666,0.7723214285714286,0.2168564078217741,0.5521869671773935
1kmN6664E0314,9,954.0,Raseborg,Ekenäs,0.4933616622611838,0.5861448587255039,5.518408549270127,0.6228552030253808
1kmN6664E0315,11,1369.0,Raseborg,Ekenäs,0.7709366391184573,0.8211632453567937,1.9442716680659096,0.7955883120419449
1kmN6664E0316,6,386.0,Raseborg,Ekenäs,0.6574074074074074,0.6851851851851851,1.2787255577432208,
1kmN6664E0355,8,1266.0,Kirkkonummi,Helsinki,0.8645833333333334,0.9166666666666666,1.1352832119758254,0.7099815187867237
1kmN6665E0313,7,275.0,Raseborg,Ekenäs,0.5421768707482993,0.6238095238095237,0.8384282531733108,0.5330939539236109
1kmN6666E0357,12,1216.0,Kirkkonummi,Helsinki,0.5401614668856048,0.5989145658263305,1.019529755688563,0.6526693035135112
1kmN6667E0307,7,463.0,Raseborg,Ekenäs,0.4514128728414442,0.6862763964146453,0.6367611826494483,0.5824610755603001
1kmN6667E0356,7,377.0,Kirkkonummi,Helsinki,0.819047619047619,0.9523809523809524,0.4871164103275354,0.6711033256927399
1kmN6667E0357,11,1743.0,Kirkkonummi,Helsinki,0.5822510822510822,0.6731601731601732,8.796448668682839,0.4902710714272116
1kmN6667E0358,9,676.0,Kirkkonummi,Helsinki,0.6865961199294532,0.7001763668430335,1.2213289827824452,0.5038757509769056
1kmN6667E0359,11,1713.0,Kirkkonummi,Helsinki,0.7741688040277381,0.8484848484848485,1.5956815516244327,0.4241571589895297
1kmN6668E0356,10,1313.0,Kirkkonummi,Helsinki,0.7824275362318841,0.916017316017316,0.6317983558225759,0.6244878823943034
1kmN6668E0357,13,1967.0,Kirkkonummi,Helsinki,0.4783882783882784,0.5333333333333333,4.120488363248071,0.5986906111487038
1kmN6668E0358,7,761.0,Kirkkonummi,Helsinki,0.6362137862137862,0.6879667951096522,0.5175117485492768,0.4770908279877362
1kmN6668E0359,7,932.0,Kirkkonummi,Helsinki,0.6023199023199023,0.7780612244897959,0.6361191580567126,0.5575854458365691
1kmN6668E0370,10,2071.0,Espoo,Helsinki,0.7270238095238095,0.8595238095238095,1.277130589380952,0.3407371427604257
1kmN6668E0371,6,572.0,Espoo,Helsinki,0.5555555555555556,0.6666666666666666,0.6933649919374066,0.292022024976982
1kmN6669E0345,9,714.0,Siuntio,Helsinki,0.5428571428571428,0.6129266521423384,0.6585570524643581,0.446429699881038
1kmN6669E0346,6,640.0,Siuntio,Helsinki,0.7519230769230769,0.8541666666666666,1.3030625583698108,1.0
1kmN6669E0356,7,359.0,Kirkkonummi,Helsinki,0.7321428571428571,0.7606679035250463,0.2417939191174405,0.5015491683610626
1kmN6669E0358,7,1764.0,Kirkkonummi,Helsinki,0.8714285714285713,0.8214285714285714,1.162512062768983,0.574772148503346
1kmN6669E0361,10,496.0,Kirkkonummi,Helsinki,0.605,0.6878787878787879,0.8247981220128492,0.4920107136068711
