home_grd_id,poi_div_mean_k_freq,visit_inc_seg_mean_k_freq,poi_div_mean_k_dist,visit_inc_seg_mean_k_dist,div_diff,seg_diff,dataset,group
1kmN6629E0246,0.9925889009962695,0.6233062330623306,1.985177801992539,0.24661246612466123,-0.9925889009962695,0.3766937669376693,places_k,All grids
1kmN6638E0272,1.408233648211071,0.3710949073640155,1.2138378507297978,0.4976003193556193,0.19439579748127334,-0.1265054119916038,places_k,All grids
1kmN6638E0273,1.4672726103211289,0.46874785198753827,1.5267894802875481,0.35669596684637533,-0.05951686996641925,0.11205188514116293,places_k,All grids
1kmN6638E0274,1.053987652299316,0.5189428385557114,1.535504683850778,0.2852676628353161,-0.4815170315514621,0.2336751757203953,places_k,All grids
1kmN6638E0275,0.0,0.8558558558558559,1.8444397270569681,0.2698412698412698,-1.8444397270569681,0.586014586014586,places_k,All grids
1kmN6638E0276,1.247969994965646,0.4904614082767362,1.5366206123086987,0.29694349690736993,-0.28865061734305275,0.19351791136936625,places_k,All grids
1kmN6639E0272,1.387281447933659,0.48054985483581997,1.0878785972800895,0.6060354479064056,0.29940285065356953,-0.12548559307058565,places_k,All grids
1kmN6639E0273,1.7479222618623091,0.4037235837135886,1.7283242260931317,0.6174443000237453,0.019598035769177402,-0.2137207163101567,places_k,All grids
1kmN6639E0274,1.3498620141852908,0.43297907261112295,1.5323956753090073,0.4362687928853351,-0.1825336611237165,-0.003289720274212149,places_k,All grids
1kmN6639E0275,1.1104129570416683,0.5410631871221848,1.6332526503442504,0.43828970886144164,-0.5228396933025821,0.10277347826074318,places_k,All grids
1kmN6639E0276,1.356222175473915,0.496270269633142,1.5480555683078208,0.4517899019623304,-0.19183339283390577,0.04448036767081165,places_k,All grids
1kmN6639E0277,1.4301423891491023,0.44220694622393003,1.6669486142944558,0.41525332983038027,-0.23680622514535354,0.026953616393549762,places_k,All grids
1kmN6639E0280,1.087411485019245,0.5194176088448206,0.7559217225512485,0.7139305566394298,0.33148976246799644,-0.19451294779460926,places_k,All grids
1kmN6639E0282,0.6819390680201153,0.7843758247558723,0.5114543010150865,0.8275291803948612,0.1704847670050288,-0.04315335563898892,places_k,All grids
1kmN6639E0286,1.2764266076252746,0.7123549318105065,0.7872189940522709,0.5466345221980012,0.4892076135730037,0.16572040961250523,places_k,All grids
1kmN6639E0287,1.3711761972958398,0.8432400932400932,0.7357485871556104,0.6412300636734025,0.6354276101402294,0.20201002956669067,places_k,All grids
1kmN6639E0289,1.4802647189453424,0.3934791021671826,1.104413105950364,0.4917586515482482,0.3758516129949785,-0.09827954938106559,places_k,All grids
1kmN6640E0271,0.7066836628820597,0.35093748045753614,0.790374041580034,0.4921080221123764,-0.08369037869797424,-0.14117054165484028,places_k,All grids
1kmN6640E0272,1.5521472105897944,0.4867176175046452,1.4945239231632934,0.6051567919376484,0.057623287426501024,-0.11843917443300317,places_k,All grids
1kmN6640E0273,1.5460212694019615,0.4888430564087139,1.6658791640731485,0.4139705635776168,-0.11985789467118702,0.07487249283109709,places_k,All grids
1kmN6640E0274,1.2329981078387517,0.6610825757557776,1.5789075671328767,0.47908414577607594,-0.345909459294125,0.18199842997970161,places_k,All grids
1kmN6640E0275,1.35775545809264,0.46117131087169994,1.419679578135485,0.5564590989565292,-0.061924120042844866,-0.0952877880848293,places_k,All grids
1kmN6640E0279,1.8594369714692556,0.4204129204129204,1.407330465254105,0.6663434604611075,0.4521065062151506,-0.2459305400481871,places_k,All grids
1kmN6640E0280,1.0183745059346518,0.3952734089973818,1.1152952450712401,0.712927373404827,-0.09692073913658827,-0.31765396440744526,places_k,All grids
1kmN6641E0276,1.4869199055262707,0.34462511291779585,1.5524576543270132,0.20179028151030104,-0.06553774880074248,0.1428348314074948,places_k,All grids
1kmN6641E0289,1.9899946639501023,0.32019704433497537,1.8822544117938436,0.11044924298833458,0.10774025215625871,0.20974780134664078,places_k,All grids
1kmN6643E0245,1.0397207708399179,0.7218225419664268,1.8896229429176588,0.21468926553672318,-0.8499021720777409,0.5071332764297036,places_k,All grids
1kmN6643E0299,0.9815288594356304,0.6992161009922337,1.9043079259090312,0.47183454212724746,-0.9227790664734008,0.2273815588649863,places_k,All grids
1kmN6644E0285,1.822321882662692,0.7265851069772639,0.8855709355613892,0.8037395053324258,0.9367509471013027,-0.07715439835516191,places_k,All grids
1kmN6645E0303,1.4592398619324285,0.8940269749518305,1.1429932091551973,0.6055278047462288,0.3162466527772312,0.2884991702056017,places_k,All grids
1kmN6646E0280,0.3182570841474064,0.6666666666666666,2.02065988387882,0.863517060367454,-1.7024027997314137,-0.19685039370078738,places_k,All grids
1kmN6646E0290,1.6608745975243884,0.4168575051691935,1.0454830467775027,0.5504162069174383,0.6153915507468857,-0.1335587017482448,places_k,All grids
1kmN6646E0299,2.0084425161672006,0.5237494745691468,1.0627777994120111,0.25531017560003066,0.9456647167551895,0.2684392989691161,places_k,All grids
1kmN6646E0301,0.47706628601261286,0.5726495726495726,1.5526848432992284,0.24137813522355506,-1.0756185572866155,0.33127143742601756,places_k,All grids
1kmN6647E0324,1.9521099521248804,0.49069512862616305,0.9933324490032632,0.4778393351800554,0.9587775031216171,0.012855793446107655,places_k,All grids
1kmN6648E0314,2.0754222360378725,0.43559267271101026,1.7454874539835132,0.5368518771773749,0.3299347820543592,-0.10125920446636466,places_k,All grids
1kmN6649E0296,1.7345997808565234,0.2895605608027468,1.5786068595945328,0.38929195679697937,0.1559929212619906,-0.09973139599423259,places_k,All grids
