user_id,visit_freq,home_dist,work_dist,CIVIC_RELIGION,CULTURE,DINING,EDUCATION,FITNESS,GROCERIES,HEALTHCARE,PARK,RETAIL,SERVICE,TOURISM,TRANSPORT
084cd8d4-91be-4239-a740-4d703da8277a,3,40988.57388,55.28677233,0,0,0,0,0,0,0,0,0,0,0,1
084cd8d4-91be-4239-a740-4d703da8277a,11,13982.44169,31973.66075,0,0,1,4,0,0,0,0,0,0,0,0
084cd8d4-91be-4239-a740-4d703da8277a,1,4791.578636,29.42079808,0,0,7,15,4,0,4,0,3,9,0,7
084cd8d4-91be-4239-a740-4d703da8277a,1,5618.226375,36452.48951,0,1,3,6,0,2,2,0,2,8,0,0
084cd8d4-91be-4239-a740-4d703da8277a,1,3283.091357,1586.24919,0,1,5,8,3,0,5,1,3,0,1,2
084cd8d4-91be-4239-a740-4d703da8277a,1,2199.281506,3382.279091,5,11,110,10,25,14,41,0,74,78,3,24
084cd8d4-91be-4239-a740-4d703da8277a,2,2875.369573,11354.66835,0,0,17,15,9,1,3,0,7,34,1,10
084cd8d4-91be-4239-a740-4d703da8277a,4,2194.577648,11775.26665,2,4,22,8,12,1,14,0,16,32,2,19
084cd8d4-91be-4239-a740-4d703da8277a,20,54.01524595,40978.83876,1,0,2,0,1,0,0,0,0,0,2,3
084cd8d4-91be-4239-a740-4d703da8277a,1,166.0374217,13873.75737,1,0,2,0,1,0,0,0,0,0,2,0
084cd8d4-91be-4239-a740-4d703da8277a,1,2336.716382,11657.08436,0,2,4,8,5,1,4,0,3,12,3,18
084cd8d4-91be-4239-a740-4d703da8277a,3,2269.91507,39707.06253,0,2,5,8,5,1,3,0,2,8,2,15
084cd8d4-91be-4239-a740-4d703da8277a,2,2231.646309,11760.92386,0,3,9,8,8,1,4,0,4,19,2,13
084cd8d4-91be-4239-a740-4d703da8277a,1,2441.914956,39532.43436,0,2,5,8,5,1,4,0,5,12,2,18
084cd8d4-91be-4239-a740-4d703da8277a,1,3501.816972,1581.33134,0,0,19,4,3,4,3,0,7,18,1,3
084cd8d4-91be-4239-a740-4d703da8277a,1,7896.255989,8983.133276,0,0,6,4,1,1,0,0,40,27,1,1
084cd8d4-91be-4239-a740-4d703da8277a,1,2471.791747,16307.42199,2,3,28,26,16,9,14,0,31,59,2,3
1b77f881-e3a5-4937-aa4b-bda8419cbb69,1,,,1,1,5,9,5,2,0,0,6,15,0,6
